CountyCityName,TownshipName,VillageName,PollStationNo,DistrictName,DrawNo,VoteCounts,VoteRate,CandidateName,EndorsementPartyName,Gender,IsIncumbent,Elected
臺北市,,,0,1,1,15891,5.45,陳進祺,無,1,N,T
臺北市,,,0,1,2,4151,1.42,趙叔鍵,中國國民黨,1,N,
臺北市,,,0,1,3,9056,3.10,孫潤本,中國國民黨,1,N,
臺北市,,,0,1,4,22438,7.69,陳政忠,中國國民黨,1,N,T
臺北市,,,0,1,5,3900,1.34,蔡茂林,中國國民黨,1,N,
臺北市,,,0,1,6,7209,2.47,鄭貴夏,中國國民黨,1,N,
臺北市,,,0,1,7,1962,0.67,何春盛,無,1,N,
臺北市,,,0,1,8,13942,4.78,陳勝宏,民主進步黨,1,N,T
臺北市,,,0,1,9,8640,2.96,張秋雄,中國國民黨,1,Y,
臺北市,,,0,1,10,9424,3.23,江碩平,中國國民黨,1,N,
臺北市,,,0,1,11,1266,0.43,莊瑞雲,無,1,N,
臺北市,,,0,1,12,12234,4.19,彭芝園,新黨,1,N,
臺北市,,,0,1,13,182,0.06,趙志祿,無,1,N,
臺北市,,,0,1,14,3397,1.16,葉有正,無,1,N,
臺北市,,,0,1,15,3456,1.18,陳耀煌,無,1,N,
臺北市,,,0,1,16,7541,2.58,黃宗文,民主進步黨,1,Y,
臺北市,,,0,1,17,124,0.04,羅斌,無,1,N,
臺北市,,,0,1,18,25330,8.68,陳雪芬,中國國民黨,2,Y,T
臺北市,,,0,1,19,43865,15.03,林瑞圖,民主進步黨,1,Y,T
臺北市,,,0,1,20,15708,5.38,吳碧珠,中國國民黨,2,Y,T
臺北市,,,0,1,21,1160,0.40,包崇敏,無,1,N,
臺北市,,,0,1,22,25198,8.64,魏億龍,新黨,1,N,T
臺北市,,,0,1,23,14322,4.91,賁馨儀,民主進步黨,2,N,T
臺北市,,,0,1,24,21306,7.30,陳正德,民主進步黨,1,N,T
臺北市,,,0,1,25,17263,5.92,郭石吉,中國國民黨,1,N,T
臺北市,,,0,1,26,2842,0.97,孫士堅,無,1,N,
臺北市,,,0,2,1,6468,3.75,陳尤雪,無,2,N,
臺北市,,,0,2,2,27811,16.11,賈毅然,新黨,1,N,T
臺北市,,,0,2,3,8578,4.97,蔡正元,中國國民黨,1,N,
臺北市,,,0,2,4,14315,8.29,李建昌,民主進步黨,1,N,T
臺北市,,,0,2,5,11996,6.95,陳秀惠,民主進步黨,2,N,
臺北市,,,0,2,6,454,0.26,張慶源,無,1,N,
臺北市,,,0,2,7,4863,2.82,林奮典,中國國民黨,1,N,
